S 68214c,1 tag = 6664, set = 10, block = 6824268 miss 
S 642574,4 tag = 6409, set = 11, block = 6563156 miss eviction 
L 6027e4,4 tag = 6153, set = 31, block = 6301636 hit 
S 6425f4,4 tag = 6409, set = 15, block = 6563284 miss eviction 
L 6027e8,4 tag = 6153, set = 31, block = 6301640 hit 
S 642674,4 tag = 6409, set = 19, block = 6563412 miss eviction 
L 6027ec,4 tag = 6153, set = 31, block = 6301644 hit 
S 6426f4,4 tag = 6409, set = 23, block = 6563540 miss eviction 
L 6027f0,4 tag = 6153, set = 31, block = 6301648 hit 
S 642774,4 tag = 6409, set = 27, block = 6563668 miss eviction 
L 6027f4,4 tag = 6153, set = 31, block = 6301652 hit 
S 6427f4,4 tag = 6409, set = 31, block = 6563796 miss eviction 
L 6027f8,4 tag = 6153, set = 31, block = 6301656 miss eviction 
S 642874,4 tag = 6410, set = 3, block = 6563924 miss eviction 
L 6027fc,4 tag = 6153, set = 31, block = 6301660 hit 
S 6428f4,4 tag = 6410, set = 7, block = 6564052 miss eviction 
L 602800,4 tag = 6154, set = 0, block = 6301696 miss eviction 
S 642974,4 tag = 6410, set = 11, block = 6564180 miss eviction 
L 602804,4 tag = 6154, set = 0, block = 6301700 hit 
S 6429f4,4 tag = 6410, set = 15, block = 6564308 miss eviction 
L 602808,4 tag = 6154, set = 0, block = 6301704 hit 
S 642a74,4 tag = 6410, set = 19, block = 6564436 miss eviction 
L 60280c,4 tag = 6154, set = 0, block = 6301708 hit 
S 642af4,4 tag = 6410, set = 23, block = 6564564 miss eviction 
L 602810,4 tag = 6154, set = 0, block = 6301712 hit 
S 642b74,4 tag = 6410, set = 27, block = 6564692 miss eviction 
L 602814,4 tag = 6154, set = 0, block = 6301716 hit 
S 642bf4,4 tag = 6410, set = 31, block = 6564820 miss eviction 
L 602818,4 tag = 6154, set = 0, block = 6301720 hit 
S 642c74,4 tag = 6411, set = 3, block = 6564948 miss eviction 
L 60281c,4 tag = 6154, set = 0, block = 6301724 hit 
S 642cf4,4 tag = 6411, set = 7, block = 6565076 miss eviction 
L 602820,4 tag = 6154, set = 1, block = 6301696 miss eviction 
S 642d74,4 tag = 6411, set = 11, block = 6565204 miss eviction 
L 602824,4 tag = 6154, set = 1, block = 6301700 hit 
S 642df4,4 tag = 6411, set = 15, block = 6565332 miss eviction 
L 602828,4 tag = 6154, set = 1, block = 6301704 hit 
S 642e74,4 tag = 6411, set = 19, block = 6565460 miss eviction 
L 60282c,4 tag = 6154, set = 1, block = 6301708 hit 
S 642ef4,4 tag = 6411, set = 23, block = 6565588 miss eviction 
L 602830,4 tag = 6154, set = 1, block = 6301712 hit 
S 642f74,4 tag = 6411, set = 27, block = 6565716 miss eviction 
L 602834,4 tag = 6154, set = 1, block = 6301716 hit 
S 642ff4,4 tag = 6411, set = 31, block = 6565844 miss eviction 
L 602838,4 tag = 6154, set = 1, block = 6301720 hit 
S 643074,4 tag = 6412, set = 3, block = 6565972 miss eviction 
L 60283c,4 tag = 6154, set = 1, block = 6301724 hit 
S 6430f4,4 tag = 6412, set = 7, block = 6566100 miss eviction 
L 602840,4 tag = 6154, set = 2, block = 6301760 miss eviction 
S 642178,4 tag = 6408, set = 11, block = 6562136 miss eviction 
L 602844,4 tag = 6154, set = 2, block = 6301764 hit 
S 6421f8,4 tag = 6408, set = 15, block = 6562264 miss eviction 
L 602848,4 tag = 6154, set = 2, block = 6301768 hit 
S 642278,4 tag = 6408, set = 19, block = 6562392 miss eviction 
L 60284c,4 tag = 6154, set = 2, block = 6301772 hit 
S 6422f8,4 tag = 6408, set = 23, block = 6562520 miss eviction 
L 602850,4 tag = 6154, set = 2, block = 6301776 hit 
S 642378,4 tag = 6408, set = 27, block = 6562648 miss eviction 
L 602854,4 tag = 6154, set = 2, block = 6301780 hit 
S 6423f8,4 tag = 6408, set = 31, block = 6562776 miss eviction 
L 602858,4 tag = 6154, set = 2, block = 6301784 hit 
S 642478,4 tag = 6409, set = 3, block = 6562904 miss eviction 
L 60285c,4 tag = 6154, set = 2, block = 6301788 hit 
S 6424f8,4 tag = 6409, set = 7, block = 6563032 miss eviction 
L 602860,4 tag = 6154, set = 3, block = 6301760 miss eviction 
S 642578,4 tag = 6409, set = 11, block = 6563160 miss eviction 
L 602864,4 tag = 6154, set = 3, block = 6301764 hit 
S 6425f8,4 tag = 6409, set = 15, block = 6563288 miss eviction 
L 602868,4 tag = 6154, set = 3, block = 6301768 hit 
S 642678,4 tag = 6409, set = 19, block = 6563416 miss eviction 
L 60286c,4 tag = 6154, set = 3, block = 6301772 hit 
S 6426f8,4 tag = 6409, set = 23, block = 6563544 miss eviction 
L 602870,4 tag = 6154, set = 3, block = 6301776 hit 
S 642778,4 tag = 6409, set = 27, block = 6563672 miss eviction 
L 602874,4 tag = 6154, set = 3, block = 6301780 hit 
S 6427f8,4 tag = 6409, set = 31, block = 6563800 miss eviction 
L 602878,4 tag = 6154, set = 3, block = 6301784 hit 
S 642878,4 tag = 6410, set = 3, block = 6563928 miss eviction 
L 60287c,4 tag = 6154, set = 3, block = 6301788 miss eviction 
S 6428f8,4 tag = 6410, set = 7, block = 6564056 miss eviction 
L 602880,4 tag = 6154, set = 4, block = 6301824 miss eviction 
S 642978,4 tag = 6410, set = 11, block = 6564184 miss eviction 
L 602884,4 tag = 6154, set = 4, block = 6301828 hit 
S 6429f8,4 tag = 6410, set = 15, block = 6564312 miss eviction 
L 602888,4 tag = 6154, set = 4, block = 6301832 hit 
S 642a78,4 tag = 6410, set = 19, block = 6564440 miss eviction 
L 60288c,4 tag = 6154, set = 4, block = 6301836 hit 
S 642af8,4 tag = 6410, set = 23, block = 6564568 miss eviction 
L 602890,4 tag = 6154, set = 4, block = 6301840 hit 
S 642b78,4 tag = 6410, set = 27, block = 6564696 miss eviction 
L 602894,4 tag = 6154, set = 4, block = 6301844 hit 
S 642bf8,4 tag = 6410, set = 31, block = 6564824 miss eviction 
L 602898,4 tag = 6154, set = 4, block = 6301848 hit 
S 642c78,4 tag = 6411, set = 3, block = 6564952 miss eviction 
L 60289c,4 tag = 6154, set = 4, block = 6301852 hit 
S 642cf8,4 tag = 6411, set = 7, block = 6565080 miss eviction 
L 6028a0,4 tag = 6154, set = 5, block = 6301824 miss eviction 
S 642d78,4 tag = 6411, set = 11, block = 6565208 miss eviction 
L 6028a4,4 tag = 6154, set = 5, block = 6301828 hit 
S 642df8,4 tag = 6411, set = 15, block = 6565336 miss eviction 
L 6028a8,4 tag = 6154, set = 5, block = 6301832 hit 
S 642e78,4 tag = 6411, set = 19, block = 6565464 miss eviction 
L 6028ac,4 tag = 6154, set = 5, block = 6301836 hit 
S 642ef8,4 tag = 6411, set = 23, block = 6565592 miss eviction 
L 6028b0,4 tag = 6154, set = 5, block = 6301840 hit 
S 642f78,4 tag = 6411, set = 27, block = 6565720 miss eviction 
L 6028b4,4 tag = 6154, set = 5, block = 6301844 hit 
S 642ff8,4 tag = 6411, set = 31, block = 6565848 miss eviction 
L 6028b8,4 tag = 6154, set = 5, block = 6301848 hit 
S 643078,4 tag = 6412, set = 3, block = 6565976 miss eviction 
L 6028bc,4 tag = 6154, set = 5, block = 6301852 hit 
S 6430f8,4 tag = 6412, set = 7, block = 6566104 miss eviction 
L 6028c0,4 tag = 6154, set = 6, block = 6301888 miss eviction 
S 64217c,4 tag = 6408, set = 11, block = 6562140 miss eviction 
L 6028c4,4 tag = 6154, set = 6, block = 6301892 hit 
S 6421fc,4 tag = 6408, set = 15, block = 6562268 miss eviction 
L 6028c8,4 tag = 6154, set = 6, block = 6301896 hit 
S 64227c,4 tag = 6408, set = 19, block = 6562396 miss eviction 
L 6028cc,4 tag = 6154, set = 6, block = 6301900 hit 
S 6422fc,4 tag = 6408, set = 23, block = 6562524 miss eviction 
L 6028d0,4 tag = 6154, set = 6, block = 6301904 hit 
S 64237c,4 tag = 6408, set = 27, block = 6562652 miss eviction 
L 6028d4,4 tag = 6154, set = 6, block = 6301908 hit 
S 6423fc,4 tag = 6408, set = 31, block = 6562780 miss eviction 
L 6028d8,4 tag = 6154, set = 6, block = 6301912 hit 
S 64247c,4 tag = 6409, set = 3, block = 6562908 miss eviction 
L 6028dc,4 tag = 6154, set = 6, block = 6301916 hit 
S 6424fc,4 tag = 6409, set = 7, block = 6563036 miss eviction 
L 6028e0,4 tag = 6154, set = 7, block = 6301888 miss eviction 
S 64257c,4 tag = 6409, set = 11, block = 6563164 miss eviction 
L 6028e4,4 tag = 6154, set = 7, block = 6301892 hit 
S 6425fc,4 tag = 6409, set = 15, block = 6563292 miss eviction 
L 6028e8,4 tag = 6154, set = 7, block = 6301896 hit 
S 64267c,4 tag = 6409, set = 19, block = 6563420 miss eviction 
L 6028ec,4 tag = 6154, set = 7, block = 6301900 hit 
S 6426fc,4 tag = 6409, set = 23, block = 6563548 miss eviction 
L 6028f0,4 tag = 6154, set = 7, block = 6301904 hit 
S 64277c,4 tag = 6409, set = 27, block = 6563676 miss eviction 
L 6028f4,4 tag = 6154, set = 7, block = 6301908 hit 
S 6427fc,4 tag = 6409, set = 31, block = 6563804 miss eviction 
L 6028f8,4 tag = 6154, set = 7, block = 6301912 hit 
S 64287c,4 tag = 6410, set = 3, block = 6563932 miss eviction 
L 6028fc,4 tag = 6154, set = 7, block = 6301916 hit 
S 6428fc,4 tag = 6410, set = 7, block = 6564060 miss eviction 
L 602900,4 tag = 6154, set = 8, block = 6301952 miss eviction 
S 64297c,4 tag = 6410, set = 11, block = 6564188 miss eviction 
L 602904,4 tag = 6154, set = 8, block = 6301956 hit 
S 6429fc,4 tag = 6410, set = 15, block = 6564316 miss eviction 
L 602908,4 tag = 6154, set = 8, block = 6301960 hit 
S 642a7c,4 tag = 6410, set = 19, block = 6564444 miss eviction 
L 60290c,4 tag = 6154, set = 8, block = 6301964 hit 
S 642afc,4 tag = 6410, set = 23, block = 6564572 miss eviction 
L 602910,4 tag = 6154, set = 8, block = 6301968 hit 
S 642b7c,4 tag = 6410, set = 27, block = 6564700 miss eviction 
L 602914,4 tag = 6154, set = 8, block = 6301972 hit 
S 642bfc,4 tag = 6410, set = 31, block = 6564828 miss eviction 
L 602918,4 tag = 6154, set = 8, block = 6301976 hit 
S 642c7c,4 tag = 6411, set = 3, block = 6564956 miss eviction 
L 60291c,4 tag = 6154, set = 8, block = 6301980 hit 
S 642cfc,4 tag = 6411, set = 7, block = 6565084 miss eviction 
L 602920,4 tag = 6154, set = 9, block = 6301952 miss eviction 
S 642d7c,4 tag = 6411, set = 11, block = 6565212 miss eviction 
L 602924,4 tag = 6154, set = 9, block = 6301956 hit 
S 642dfc,4 tag = 6411, set = 15, block = 6565340 miss eviction 
L 602928,4 tag = 6154, set = 9, block = 6301960 hit 
S 642e7c,4 tag = 6411, set = 19, block = 6565468 miss eviction 
L 60292c,4 tag = 6154, set = 9, block = 6301964 hit 
S 642efc,4 tag = 6411, set = 23, block = 6565596 miss eviction 
L 602930,4 tag = 6154, set = 9, block = 6301968 hit 
S 642f7c,4 tag = 6411, set = 27, block = 6565724 miss eviction 
L 602934,4 tag = 6154, set = 9, block = 6301972 hit 
S 642ffc,4 tag = 6411, set = 31, block = 6565852 miss eviction 
L 602938,4 tag = 6154, set = 9, block = 6301976 hit 
S 64307c,4 tag = 6412, set = 3, block = 6565980 miss eviction 
L 60293c,4 tag = 6154, set = 9, block = 6301980 hit 
S 6430fc,4 tag = 6412, set = 7, block = 6566108 miss eviction 
L 602940,4 tag = 6154, set = 10, block = 6302016 miss eviction 
S 642180,4 tag = 6408, set = 12, block = 6562176 miss eviction 
L 602944,4 tag = 6154, set = 10, block = 6302020 hit 
S 642200,4 tag = 6408, set = 16, block = 6562304 miss eviction 
L 602948,4 tag = 6154, set = 10, block = 6302024 hit 
S 642280,4 tag = 6408, set = 20, block = 6562432 miss eviction 
L 60294c,4 tag = 6154, set = 10, block = 6302028 hit 
S 642300,4 tag = 6408, set = 24, block = 6562560 miss eviction 
L 602950,4 tag = 6154, set = 10, block = 6302032 hit 
S 642380,4 tag = 6408, set = 28, block = 6562688 miss eviction 
L 602954,4 tag = 6154, set = 10, block = 6302036 hit 
S 642400,4 tag = 6409, set = 0, block = 6562816 miss eviction 
L 602958,4 tag = 6154, set = 10, block = 6302040 hit 
S 642480,4 tag = 6409, set = 4, block = 6562944 miss eviction 
L 60295c,4 tag = 6154, set = 10, block = 6302044 hit 
S 642500,4 tag = 6409, set = 8, block = 6563072 miss eviction 
L 602960,4 tag = 6154, set = 11, block = 6302016 miss eviction 
S 642580,4 tag = 6409, set = 12, block = 6563200 miss eviction 
L 602964,4 tag = 6154, set = 11, block = 6302020 hit 
S 642600,4 tag = 6409, set = 16, block = 6563328 miss eviction 
L 602968,4 tag = 6154, set = 11, block = 6302024 hit 
S 642680,4 tag = 6409, set = 20, block = 6563456 miss eviction 
L 60296c,4 tag = 6154, set = 11, block = 6302028 hit 
S 642700,4 tag = 6409, set = 24, block = 6563584 miss eviction 
L 602970,4 tag = 6154, set = 11, block = 6302032 hit 
S 642780,4 tag = 6409, set = 28, block = 6563712 miss eviction 
L 602974,4 tag = 6154, set = 11, block = 6302036 hit 
S 642800,4 tag = 6410, set = 0, block = 6563840 miss eviction 
L 602978,4 tag = 6154, set = 11, block = 6302040 hit 
S 642880,4 tag = 6410, set = 4, block = 6563968 miss eviction 
L 60297c,4 tag = 6154, set = 11, block = 6302044 hit 
S 642900,4 tag = 6410, set = 8, block = 6564096 miss eviction 
L 602980,4 tag = 6154, set = 12, block = 6302080 miss eviction 
S 642980,4 tag = 6410, set = 12, block = 6564224 miss eviction 
L 602984,4 tag = 6154, set = 12, block = 6302084 miss eviction 
S 642a00,4 tag = 6410, set = 16, block = 6564352 miss eviction 
L 602988,4 tag = 6154, set = 12, block = 6302088 hit 
S 642a80,4 tag = 6410, set = 20, block = 6564480 miss eviction 
L 60298c,4 tag = 6154, set = 12, block = 6302092 hit 
S 642b00,4 tag = 6410, set = 24, block = 6564608 miss eviction 
L 602990,4 tag = 6154, set = 12, block = 6302096 hit 
S 642b80,4 tag = 6410, set = 28, block = 6564736 miss eviction 
L 602994,4 tag = 6154, set = 12, block = 6302100 hit 
S 642c00,4 tag = 6411, set = 0, block = 6564864 miss eviction 
L 602998,4 tag = 6154, set = 12, block = 6302104 hit 
S 642c80,4 tag = 6411, set = 4, block = 6564992 miss eviction 
L 60299c,4 tag = 6154, set = 12, block = 6302108 hit 
S 642d00,4 tag = 6411, set = 8, block = 6565120 miss eviction 
L 6029a0,4 tag = 6154, set = 13, block = 6302080 miss eviction 
S 642d80,4 tag = 6411, set = 12, block = 6565248 miss eviction 
L 6029a4,4 tag = 6154, set = 13, block = 6302084 hit 
S 642e00,4 tag = 6411, set = 16, block = 6565376 miss eviction 
L 6029a8,4 tag = 6154, set = 13, block = 6302088 hit 
S 642e80,4 tag = 6411, set = 20, block = 6565504 miss eviction 
L 6029ac,4 tag = 6154, set = 13, block = 6302092 hit 
S 642f00,4 tag = 6411, set = 24, block = 6565632 miss eviction 
L 6029b0,4 tag = 6154, set = 13, block = 6302096 hit 
S 642f80,4 tag = 6411, set = 28, block = 6565760 miss eviction 
L 6029b4,4 tag = 6154, set = 13, block = 6302100 hit 
S 643000,4 tag = 6412, set = 0, block = 6565888 miss eviction 
L 6029b8,4 tag = 6154, set = 13, block = 6302104 hit 
S 643080,4 tag = 6412, set = 4, block = 6566016 miss eviction 
L 6029bc,4 tag = 6154, set = 13, block = 6302108 hit 
S 643100,4 tag = 6412, set = 8, block = 6566144 miss eviction 
L 6029c0,4 tag = 6154, set = 14, block = 6302144 miss eviction 
S 642184,4 tag = 6408, set = 12, block = 6562180 miss eviction 
L 6029c4,4 tag = 6154, set = 14, block = 6302148 hit 
S 642204,4 tag = 6408, set = 16, block = 6562308 miss eviction 
L 6029c8,4 tag = 6154, set = 14, block = 6302152 hit 
S 642284,4 tag = 6408, set = 20, block = 6562436 miss eviction 
L 6029cc,4 tag = 6154, set = 14, block = 6302156 hit 
S 642304,4 tag = 6408, set = 24, block = 6562564 miss eviction 
L 6029d0,4 tag = 6154, set = 14, block = 6302160 hit 
S 642384,4 tag = 6408, set = 28, block = 6562692 miss eviction 
L 6029d4,4 tag = 6154, set = 14, block = 6302164 hit 
S 642404,4 tag = 6409, set = 0, block = 6562820 miss eviction 
L 6029d8,4 tag = 6154, set = 14, block = 6302168 hit 
S 642484,4 tag = 6409, set = 4, block = 6562948 miss eviction 
L 6029dc,4 tag = 6154, set = 14, block = 6302172 hit 
S 642504,4 tag = 6409, set = 8, block = 6563076 miss eviction 
L 6029e0,4 tag = 6154, set = 15, block = 6302144 miss eviction 
S 642584,4 tag = 6409, set = 12, block = 6563204 miss eviction 
L 6029e4,4 tag = 6154, set = 15, block = 6302148 hit 
S 642604,4 tag = 6409, set = 16, block = 6563332 miss eviction 
L 6029e8,4 tag = 6154, set = 15, block = 6302152 hit 
S 642684,4 tag = 6409, set = 20, block = 6563460 miss eviction 
L 6029ec,4 tag = 6154, set = 15, block = 6302156 hit 
S 642704,4 tag = 6409, set = 24, block = 6563588 miss eviction 
L 6029f0,4 tag = 6154, set = 15, block = 6302160 hit 
S 642784,4 tag = 6409, set = 28, block = 6563716 miss eviction 
L 6029f4,4 tag = 6154, set = 15, block = 6302164 hit 
S 642804,4 tag = 6410, set = 0, block = 6563844 miss eviction 
L 6029f8,4 tag = 6154, set = 15, block = 6302168 hit 
S 642884,4 tag = 6410, set = 4, block = 6563972 miss eviction 
L 6029fc,4 tag = 6154, set = 15, block = 6302172 hit 
S 642904,4 tag = 6410, set = 8, block = 6564100 miss eviction 
L 602a00,4 tag = 6154, set = 16, block = 6302208 miss eviction 
S 642984,4 tag = 6410, set = 12, block = 6564228 miss eviction 
L 602a04,4 tag = 6154, set = 16, block = 6302212 hit 
S 642a04,4 tag = 6410, set = 16, block = 6564356 miss eviction 
L 602a08,4 tag = 6154, set = 16, block = 6302216 miss eviction 
S 642a84,4 tag = 6410, set = 20, block = 6564484 miss eviction 
L 602a0c,4 tag = 6154, set = 16, block = 6302220 hit 
S 642b04,4 tag = 6410, set = 24, block = 6564612 miss eviction 
L 602a10,4 tag = 6154, set = 16, block = 6302224 hit 
S 642b84,4 tag = 6410, set = 28, block = 6564740 miss eviction 
L 602a14,4 tag = 6154, set = 16, block = 6302228 hit 
S 642c04,4 tag = 6411, set = 0, block = 6564868 miss eviction 
L 602a18,4 tag = 6154, set = 16, block = 6302232 hit 
S 642c84,4 tag = 6411, set = 4, block = 6564996 miss eviction 
L 602a1c,4 tag = 6154, set = 16, block = 6302236 hit 
S 642d04,4 tag = 6411, set = 8, block = 6565124 miss eviction 
L 602a20,4 tag = 6154, set = 17, block = 6302208 miss eviction 
S 642d84,4 tag = 6411, set = 12, block = 6565252 miss eviction 
L 602a24,4 tag = 6154, set = 17, block = 6302212 hit 
S 642e04,4 tag = 6411, set = 16, block = 6565380 miss eviction 
L 602a28,4 tag = 6154, set = 17, block = 6302216 hit 
S 642e84,4 tag = 6411, set = 20, block = 6565508 miss eviction 
L 602a2c,4 tag = 6154, set = 17, block = 6302220 hit 
S 642f04,4 tag = 6411, set = 24, block = 6565636 miss eviction 
L 602a30,4 tag = 6154, set = 17, block = 6302224 hit 
S 642f84,4 tag = 6411, set = 28, block = 6565764 miss eviction 
L 602a34,4 tag = 6154, set = 17, block = 6302228 hit 
S 643004,4 tag = 6412, set = 0, block = 6565892 miss eviction 
L 602a38,4 tag = 6154, set = 17, block = 6302232 hit 
S 643084,4 tag = 6412, set = 4, block = 6566020 miss eviction 
L 602a3c,4 tag = 6154, set = 17, block = 6302236 hit 
S 643104,4 tag = 6412, set = 8, block = 6566148 miss eviction 
L 602a40,4 tag = 6154, set = 18, block = 6302272 miss eviction 
S 642188,4 tag = 6408, set = 12, block = 6562184 miss eviction 
L 602a44,4 tag = 6154, set = 18, block = 6302276 hit 
S 642208,4 tag = 6408, set = 16, block = 6562312 miss eviction 
L 602a48,4 tag = 6154, set = 18, block = 6302280 hit 
S 642288,4 tag = 6408, set = 20, block = 6562440 miss eviction 
L 602a4c,4 tag = 6154, set = 18, block = 6302284 hit 
S 642308,4 tag = 6408, set = 24, block = 6562568 miss eviction 
L 602a50,4 tag = 6154, set = 18, block = 6302288 hit 
S 642388,4 tag = 6408, set = 28, block = 6562696 miss eviction 
L 602a54,4 tag = 6154, set = 18, block = 6302292 hit 
S 642408,4 tag = 6409, set = 0, block = 6562824 miss eviction 
L 602a58,4 tag = 6154, set = 18, block = 6302296 hit 
S 642488,4 tag = 6409, set = 4, block = 6562952 miss eviction 
L 602a5c,4 tag = 6154, set = 18, block = 6302300 hit 
S 642508,4 tag = 6409, set = 8, block = 6563080 miss eviction 
L 602a60,4 tag = 6154, set = 19, block = 6302272 miss eviction 
S 642588,4 tag = 6409, set = 12, block = 6563208 miss eviction 
L 602a64,4 tag = 6154, set = 19, block = 6302276 hit 
S 642608,4 tag = 6409, set = 16, block = 6563336 miss eviction 
L 602a68,4 tag = 6154, set = 19, block = 6302280 hit 
S 642688,4 tag = 6409, set = 20, block = 6563464 miss eviction 
L 602a6c,4 tag = 6154, set = 19, block = 6302284 hit 
S 642708,4 tag = 6409, set = 24, block = 6563592 miss eviction 
L 602a70,4 tag = 6154, set = 19, block = 6302288 hit 
S 642788,4 tag = 6409, set = 28, block = 6563720 miss eviction 
L 602a74,4 tag = 6154, set = 19, block = 6302292 hit 
S 642808,4 tag = 6410, set = 0, block = 6563848 miss eviction 
L 602a78,4 tag = 6154, set = 19, block = 6302296 hit 
S 642888,4 tag = 6410, set = 4, block = 6563976 miss eviction 
L 602a7c,4 tag = 6154, set = 19, block = 6302300 hit 
S 642908,4 tag = 6410, set = 8, block = 6564104 miss eviction 
L 602a80,4 tag = 6154, set = 20, block = 6302336 miss eviction 
S 642988,4 tag = 6410, set = 12, block = 6564232 miss eviction 
L 602a84,4 tag = 6154, set = 20, block = 6302340 hit 
S 642a08,4 tag = 6410, set = 16, block = 6564360 miss eviction 
L 602a88,4 tag = 6154, set = 20, block = 6302344 hit 
S 642a88,4 tag = 6410, set = 20, block = 6564488 miss eviction 
L 602a8c,4 tag = 6154, set = 20, block = 6302348 miss eviction 
S 642b08,4 tag = 6410, set = 24, block = 6564616 miss eviction 
L 602a90,4 tag = 6154, set = 20, block = 6302352 hit 
S 642b88,4 tag = 6410, set = 28, block = 6564744 miss eviction 
L 602a94,4 tag = 6154, set = 20, block = 6302356 hit 
S 642c08,4 tag = 6411, set = 0, block = 6564872 miss eviction 
L 602a98,4 tag = 6154, set = 20, block = 6302360 hit 
S 642c88,4 tag = 6411, set = 4, block = 6565000 miss eviction 
L 602a9c,4 tag = 6154, set = 20, block = 6302364 hit 
S 642d08,4 tag = 6411, set = 8, block = 6565128 miss eviction 
L 602aa0,4 tag = 6154, set = 21, block = 6302336 miss eviction 
S 642d88,4 tag = 6411, set = 12, block = 6565256 miss eviction 
L 602aa4,4 tag = 6154, set = 21, block = 6302340 hit 
S 642e08,4 tag = 6411, set = 16, block = 6565384 miss eviction 
L 602aa8,4 tag = 6154, set = 21, block = 6302344 hit 
S 642e88,4 tag = 6411, set = 20, block = 6565512 miss eviction 
L 602aac,4 tag = 6154, set = 21, block = 6302348 hit 
S 642f08,4 tag = 6411, set = 24, block = 6565640 miss eviction 
L 602ab0,4 tag = 6154, set = 21, block = 6302352 hit 
S 642f88,4 tag = 6411, set = 28, block = 6565768 miss eviction 
L 602ab4,4 tag = 6154, set = 21, block = 6302356 hit 
S 643008,4 tag = 6412, set = 0, block = 6565896 miss eviction 
L 602ab8,4 tag = 6154, set = 21, block = 6302360 hit 
S 643088,4 tag = 6412, set = 4, block = 6566024 miss eviction 
L 602abc,4 tag = 6154, set = 21, block = 6302364 hit 
S 643108,4 tag = 6412, set = 8, block = 6566152 miss eviction 
L 602ac0,4 tag = 6154, set = 22, block = 6302400 miss eviction 
S 64218c,4 tag = 6408, set = 12, block = 6562188 miss eviction 
L 602ac4,4 tag = 6154, set = 22, block = 6302404 hit 
S 64220c,4 tag = 6408, set = 16, block = 6562316 miss eviction 
L 602ac8,4 tag = 6154, set = 22, block = 6302408 hit 
S 64228c,4 tag = 6408, set = 20, block = 6562444 miss eviction 
L 602acc,4 tag = 6154, set = 22, block = 6302412 hit 
S 64230c,4 tag = 6408, set = 24, block = 6562572 miss eviction 
L 602ad0,4 tag = 6154, set = 22, block = 6302416 hit 
S 64238c,4 tag = 6408, set = 28, block = 6562700 miss eviction 
L 602ad4,4 tag = 6154, set = 22, block = 6302420 hit 
S 64240c,4 tag = 6409, set = 0, block = 6562828 miss eviction 
L 602ad8,4 tag = 6154, set = 22, block = 6302424 hit 
S 64248c,4 tag = 6409, set = 4, block = 6562956 miss eviction 
L 602adc,4 tag = 6154, set = 22, block = 6302428 hit 
S 64250c,4 tag = 6409, set = 8, block = 6563084 miss eviction 
L 602ae0,4 tag = 6154, set = 23, block = 6302400 miss eviction 
S 64258c,4 tag = 6409, set = 12, block = 6563212 miss eviction 
L 602ae4,4 tag = 6154, set = 23, block = 6302404 hit 
S 64260c,4 tag = 6409, set = 16, block = 6563340 miss eviction 
L 602ae8,4 tag = 6154, set = 23, block = 6302408 hit 
S 64268c,4 tag = 6409, set = 20, block = 6563468 miss eviction 
L 602aec,4 tag = 6154, set = 23, block = 6302412 hit 
S 64270c,4 tag = 6409, set = 24, block = 6563596 miss eviction 
L 602af0,4 tag = 6154, set = 23, block = 6302416 hit 
S 64278c,4 tag = 6409, set = 28, block = 6563724 miss eviction 
L 602af4,4 tag = 6154, set = 23, block = 6302420 hit 
S 64280c,4 tag = 6410, set = 0, block = 6563852 miss eviction 
L 602af8,4 tag = 6154, set = 23, block = 6302424 hit 
S 64288c,4 tag = 6410, set = 4, block = 6563980 miss eviction 
L 602afc,4 tag = 6154, set = 23, block = 6302428 hit 
S 64290c,4 tag = 6410, set = 8, block = 6564108 miss eviction 
L 602b00,4 tag = 6154, set = 24, block = 6302464 miss eviction 
S 64298c,4 tag = 6410, set = 12, block = 6564236 miss eviction 
L 602b04,4 tag = 6154, set = 24, block = 6302468 hit 
S 642a0c,4 tag = 6410, set = 16, block = 6564364 miss eviction 
L 602b08,4 tag = 6154, set = 24, block = 6302472 hit 
S 642a8c,4 tag = 6410, set = 20, block = 6564492 miss eviction 
L 602b0c,4 tag = 6154, set = 24, block = 6302476 hit 
S 642b0c,4 tag = 6410, set = 24, block = 6564620 miss eviction 
L 602b10,4 tag = 6154, set = 24, block = 6302480 miss eviction 
S 642b8c,4 tag = 6410, set = 28, block = 6564748 miss eviction 
L 602b14,4 tag = 6154, set = 24, block = 6302484 hit 
S 642c0c,4 tag = 6411, set = 0, block = 6564876 miss eviction 
L 602b18,4 tag = 6154, set = 24, block = 6302488 hit 
S 642c8c,4 tag = 6411, set = 4, block = 6565004 miss eviction 
L 602b1c,4 tag = 6154, set = 24, block = 6302492 hit 
S 642d0c,4 tag = 6411, set = 8, block = 6565132 miss eviction 
L 602b20,4 tag = 6154, set = 25, block = 6302464 miss eviction 
S 642d8c,4 tag = 6411, set = 12, block = 6565260 miss eviction 
L 602b24,4 tag = 6154, set = 25, block = 6302468 hit 
S 642e0c,4 tag = 6411, set = 16, block = 6565388 miss eviction 
L 602b28,4 tag = 6154, set = 25, block = 6302472 hit 
S 642e8c,4 tag = 6411, set = 20, block = 6565516 miss eviction 
L 602b2c,4 tag = 6154, set = 25, block = 6302476 hit 
S 642f0c,4 tag = 6411, set = 24, block = 6565644 miss eviction 
L 602b30,4 tag = 6154, set = 25, block = 6302480 hit 
S 642f8c,4 tag = 6411, set = 28, block = 6565772 miss eviction 
L 602b34,4 tag = 6154, set = 25, block = 6302484 hit 
